geometry,m,agreement,mean_gap
linear,3,0.0,0.757174817133805
linear,5,0.0,0.7995451249676674
linear,8,0.0,0.8459679408768586
linear,10,0.0,0.8649098714189154
concave,3,0.0,0.710435661185781
concave,5,0.0,0.8862292290575066
concave,8,0.0,1.1346611411763408
concave,10,0.0,1.1229768577720542
convex,3,0.0,0.8739073510021653
convex,5,0.0,0.9147442633374356
convex,8,0.0,0.9539270162005493
convex,10,0.0,0.9314529852009447
disconnected,3,0.16666666666666666,0.3373669238859607
disconnected,5,0.03333333333333333,0.6208548418617759
disconnected,8,0.0,0.9496028001967448
disconnected,10,0.0,1.0641493437535468
